,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
3579,0.0,0.0,299929823.06290436,0.26834899614498575,303697006.7030233,0.5212479719789815,11603539.417999143,0.005989313034176003,124130649.76658095,0.11411196981807009,710400000.0,0.0
3580,0.0,0.0,27661603.298911378,0.02624750387303336,120468095.88290568,0.2103623538257596,770468.5606607285,0.0004401189369468127,61392994.505804576,0.05585576600588994,710400000.0,0.0
3581,0.0,0.0,25809251.41556133,0.026354898937191118,49006276.30876897,0.09373505224337317,106201005.54152605,0.04592534487120967,57447823.290075555,0.056155030844444155,710400000.0,0.0
3582,0.0,0.0,233982606.77739543,0.22153945690454482,18583869.484487575,0.035866163226777444,722225.290464534,0.0004446903369281599,188596363.07986712,0.180209572005213,710400000.0,0.0
3583,0.0,0.0,334760757.2790078,0.2597886833901899,92838455.73616624,0.1446385399923084,3219609.0379685974,0.001520499383993594,91649098.56605527,0.0734354403298038,710400000.0,0.0
3584,0.0,0.0,203388813.4761114,0.17359290067045466,55454717.094543256,0.0945322637771369,844572.9078773264,0.0004707003920850029,86756712.02248935,0.07530373180078748,710400000.0,0.0
3585,2915046538.4030437,1.6439950508317782,70814898.94422157,0.058359571651628375,660504618.1840396,0.9638106253459666,78914368.15651351,0.030598054810032818,489903931.2665672,0.3788300069691021,710400000.0,0.0
3586,0.0,0.0,500989.6913949012,0.0005163947974592922,18876741.53018436,0.035715669193172934,91454574.63535762,0.04049747962045569,57069260.87770354,0.054696023402642985,710400000.0,0.0
3587,142605471.8828699,0.11803416025370306,48230170.59447709,0.05830863131856043,8585141.928665524,0.020207742142992105,1271180.2502347182,0.0008938658236857454,17667707.799270324,0.021120704551595364,710400000.0,0.0
3588,0.0,0.0,301134615.7318069,0.21614394061846431,0.0,0.0,44564757.06478089,0.016543317041891943,29280894.102645166,0.02193191749912492,710400000.0,0.0
3589,0.0,0.0,882955668.6874095,0.7790206287883392,195932178.9440751,0.35683497909422496,7037476.54331001,0.00394582948174585,0.0,0.0,710400000.0,0.0
3590,0.0,0.0,37219226.19499199,0.042056559500617194,43722619.92546007,0.09379341692637397,2597655.550461904,0.0017370223428891621,170536811.57213622,0.18293470730730654,710400000.0,0.0
